timestamp,sensor_id,sensor_type,value,unit
2025-12-11 17:41:12,FrontDoor_Lock,Security,1,State
2025-12-11 17:41:18,SmartPlug_TV,Energy,345.14,Watts
2025-12-11 17:41:23,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:41:28,Kitchen_Temp,Environment,18.46,C
2025-12-11 17:41:33,SmartPlug_TV,Energy,475.02,Watts
2025-12-11 17:41:38,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:41:43,FrontDoor_Lock,Security,0,State
2025-12-11 17:41:48,SmartPlug_TV,Energy,352.4,Watts
2025-12-11 17:41:53,SmartPlug_TV,Energy,437.63,Watts
2025-12-11 17:41:58,Kitchen_Temp,Environment,20.76,C
2025-12-11 17:42:03,SmartPlug_TV,Energy,168.37,Watts
2025-12-11 17:42:08,SmartPlug_TV,Energy,340.34,Watts
2025-12-11 17:42:13,SmartPlug_TV,Energy,155.88,Watts
2025-12-11 17:42:18,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:42:23,FrontDoor_Lock,Security,0,State
2025-12-11 17:42:28,SmartPlug_TV,Energy,226.21,Watts
2025-12-11 17:42:33,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:42:38,SmartPlug_TV,Energy,191.6,Watts
2025-12-11 17:42:43,SmartPlug_TV,Energy,283.28,Watts
2025-12-11 17:42:48,FrontDoor_Lock,Security,0,State
2025-12-11 17:42:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:42:58,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:43:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:43:08,FrontDoor_Lock,Security,0,State
2025-12-11 17:43:13,FrontDoor_Lock,Security,0,State
2025-12-11 17:43:18,SmartPlug_TV,Energy,359.87,Watts
2025-12-11 17:43:23,SmartPlug_TV,Energy,239.77,Watts
2025-12-11 17:43:28,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:43:33,Kitchen_Temp,Environment,22.5,C
2025-12-11 17:43:38,Kitchen_Temp,Environment,27.25,C
2025-12-11 17:43:43,FrontDoor_Lock,Security,0,State
2025-12-11 17:43:48,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:43:53,FrontDoor_Lock,Security,0,State
2025-12-11 17:43:58,Kitchen_Temp,Environment,22.37,C
2025-12-11 17:44:03,Kitchen_Temp,Environment,25.75,C
2025-12-11 17:44:08,SmartPlug_TV,Energy,93.53,Watts
2025-12-11 17:44:13,FrontDoor_Lock,Security,0,State
2025-12-11 17:44:18,Kitchen_Temp,Environment,18.79,C
2025-12-11 17:44:23,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:44:28,FrontDoor_Lock,Security,1,State
2025-12-11 17:44:33,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:44:38,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:44:43,FrontDoor_Lock,Security,1,State
2025-12-11 17:44:48,Kitchen_Temp,Environment,21.42,C
2025-12-11 17:44:53,SmartPlug_TV,Energy,496.76,Watts
2025-12-11 17:44:58,LivingRoom_Motion,Security,0,Boolean
2025-12-11 17:45:03,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:45:08,Kitchen_Temp,Environment,25.0,C
2025-12-11 17:45:13,SmartPlug_TV,Energy,276.75,Watts
2025-12-11 17:45:18,SmartPlug_TV,Energy,396.57,Watts
2025-12-11 17:45:23,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:45:28,Kitchen_Temp,Environment,26.04,C
2025-12-11 17:45:33,Kitchen_Temp,Environment,28.52,C
2025-12-11 17:45:38,SmartPlug_TV,Energy,473.09,Watts
2025-12-11 17:45:43,SmartPlug_TV,Energy,208.58,Watts
2025-12-11 17:45:48,LivingRoom_Motion,Security,1,Boolean
2025-12-11 17:45:53,LivingRoom_Motion,Security,0,Boolean
